6110,519,0
6105,9373,0
6100,597,1201
6095,43,0
6090,800,10
6085,309,0
6080,29043,0
6075,496,717
6070,936,3
6065,479,0
6060,618,18
6055,6482,23
6050,727,280
6045,969,0
6040,2153,-1
6035,2155,0
6030,63998,-1
6025,1093,10
6020,980,2
6015,110,57
6010,513,4
6005,11494,51
6000,1889,2884
5995,2917,13
5990,1564,14
5985,599,0
5980,15505,6
5975,506,484
5970,2901,208
5965,303,15
5960,173,11
5955,12907,11
5950,1368,1653
5945,155,-2
5940,3043,6
5935,48124,0
5930,25519,17
5925,1633,1156
5920,906,14
5915,656,7
5910,14348,955
5905,-15961,241
5900,291,1999
5895,267,0
5890,1885,260
5885,898,-8
5880,24483,179
5875,13,412
5870,1021,627
5865,3045,7
5860,2179,152
5855,6603,501
5850,2478,1427
5845,510,406
5840,4097,203
5835,3809,375
5830,50153,376
5825,878,292
5820,3031,484
5815,1373,811
5810,2779,829
5805,431,8568
5800,2629,11072
5795,3654,633
5790,2921,1014
5785,1133,704
5780,12181,1277
5775,1621,2014
5770,2069,1801
5765,1967,1517
5760,1792,2986
5755,8231,1855
5750,-204,8637
5745,1781,2466
5740,3323,7437
5735,1512,5443
5730,-124,7593
5725,2349,8667
5720,952,4833
5715,2080,4536
5710,3551,4859
5705,-5584,3777
5700,1077,9231
5695,2589,2011
5690,1043,2427
5685,621,2371
5680,-64,1795
5675,5,2077
5670,252,2800
5665,-5111,-216
5660,981,-524
5655,-4588,-514
5650,678,-2388
5645,-690,-1586
5640,-418,-2114
5635,-610,-1622
5630,-24607,-3194
5625,-1905,-2148
5620,301,-2392
5615,-756,-1487
5610,-1121,-3500
5605,-10413,-2484
5600,-3538,-8609
5595,-913,-2840
5590,-3101,-3234
5585,-256,-3408
5580,-19220,-3270
5575,-1087,-3996
5570,-1865,-5623
5565,-1588,-2323
5560,140,-3607
5555,-11678,-2602
5550,-2002,-5286
5545,-106,-2781
5540,-983,-2606
5535,-1045,-1876
5530,-31394,-10186
5525,-1778,-11962
5520,-1769,-1470
5515,-1211,-1965
5510,-3109,-1249
5505,-14378,-1290
5500,-1976,-3490
5495,-4676,-911
5490,-3409,-540
5485,-1981,-837
5480,-32390,-521
5475,-1478,-1193
5470,-2799,-518
5465,-450,-605
5460,1187,-607
5455,-13289,-633
5450,-2822,-5492
5445,-2275,-235
5440,-5625,-371
5435,-1487,-1464
5430,-82308,-307
5425,-2531,-4791
5420,-3617,-232
5415,-2029,-606
5410,-3347,-310
5405,-18407,-109
5400,-3499,-2248
5395,-2785,-141
5390,-4441,-156
5385,-1314,-112
5380,-32556,-179
5375,-908,-297
5370,-1321,-195
5365,-1792,-57
5360,-3109,-124
5355,-25556,-215
5350,-2805,-4316
5345,-2335,-53
5340,-43836,-18
5335,-2544,-560
5330,-85453,-175
5325,-807,-2693
5320,-5734,-192
5315,-1588,-110
5310,-3562,-702
5305,-18796,-137
5300,-11978,-1294
5295,-1051,-52
5290,-3193,-56
5285,-1636,-126
5280,-41591,-500
5275,-1985,-197
5270,-1829,-170
5265,-932,-281
5260,-2985,-8
5255,-18012,-21
5250,-2077,-851
5245,-2262,-2
5240,-5080,-44
5235,-661,-4
5230,-121730,-27
5225,-933,-191
5220,-3241,-3
5215,-1167,-3
5210,-4519,19
5205,-14334,-5
5200,-2467,-982
5195,-1189,-10
5190,-3052,83
5185,-662,0
5180,-49999,-37
5175,-681,-24
5170,-1316,-54
5165,-2417,-9
